skycoord.u,skycoord.v,skycoord.w,skycoord.U,skycoord.V
-144.02575708605423,350.3072963477921,28.02773004578245,-2232.586000588215,-781.6241350705282
-311.8949524385365,-120.59782460557169,-111.06686741280878,-35.49785556648044,-269.6346964646387
-308.9784468672834,-143.51056661585673,-120.22587382966624,200.96695007566362,-556.5215072311095
-314.33763373082786,-114.02417809043045,-99.67123940772338,63.05849515312616,-438.93291862571505
-225.83591605752918,-184.22235907193956,63.7233540726133,658.7879952879069,-937.5249077051517
98.17614331063353,-475.2851034128802,10.700123452383393,-5951.6017148187575,-1285.831041544725
-200.1518032731476,382.6198984366285,-27.96257458686622,-2912.676429938805,-1637.6899664288783
402.84564879869725,-242.20383447277283,-122.19089658453336,-2432.519868965925,-3027.360166888757
-58.84270693639551,-264.3198876777959,-72.87944379503793,-4015.7804782188323,1210.8593355188593
123.8684011850721,-379.9217292753734,-13.717710134144196,-5634.517967757813,-1763.8408529370715
197.1263350062301,-55.52426569030006,-32.6481485986233,-576.1465228649664,-457.46877519034035
293.810993174048,-300.83848797699545,-45.93827256930177,-3634.0647495873864,-3139.7110037721
128.28087822923348,-430.7170515770414,-4.640625033746431,-5648.512309045444,-1651.8842900618897
43.42188220941633,11.707990699952598,-233.23339663552713,-4163.69089230493,-1462.061142283788
-107.29946404420173,-279.35512088206207,-59.258959351729594,-2675.9228296031,1429.4080186278231
-161.74872671577987,-345.978964113304,-52.44063060982281,-2664.929430941968,1534.9987904481327
318.2875874410802,161.83678458686796,94.16364727188804,20.72395228275013,-952.2905110924094
-383.395549045065,-103.89534931887749,-84.79858262976549,262.61060451340495,-951.7656202910105
-363.13669119379284,-171.2337902541108,-131.5159919390351,44.63929252180229,-62.72514377792988
-43.388483290283965,-499.6379704890482,-47.66499060465314,-4566.835496253126,439.14162349764814
1.0175511574313418,-150.87698667092758,-17.82340831918353,-5087.423959112802,63.196669013450474
50.849001092653744,-143.0790558055087,-13.165713163448828,-2947.696969565272,-1061.9195949727416
-291.4537537155054,103.28783530239406,-99.34225193758144,-627.0707856593431,-2387.14945383496
287.1746822751106,169.25554231835366,102.26212981629129,1685.5360821321776,-2252.7881863227776
383.2899252293268,281.7787910700834,44.34212270436821,1203.085260342068,-1385.9097872942698
-348.70541692431993,-221.98011746446045,-141.9625676443667,102.68132909305318,-119.23824410935266
413.4240049349045,-118.30224980662666,-131.38324938883585,-3743.314792657459,-7211.8452808731445
-147.63401114505004,94.57362128717736,-19.67860756624483,-3020.0294891648823,-5013.397789312708
-121.26400851211419,29.19625048520584,-54.53062584314104,-375.1799553829306,-6271.3562847271405
-385.1995116033504,-52.728073864415414,-149.84057393843693,358.4370535254346,-356.6973654018903
-266.560289129461,-182.91519013278247,-42.39382802726675,85.6688555212946,254.66708648701643
-303.8042400796869,-374.68061387112436,26.36468073696481,-1706.5095162385148,1190.702418613785
-57.97167013225153,-183.09311475259244,-24.522540905025306,-4282.247525222079,1639.8078409479442
-110.96150999921015,-347.88455498209834,-43.90535228201362,-3011.4218727333237,1243.4816205574107
26.798442243928818,-397.05717214741264,-113.15897385023783,-5005.585092112964,-449.66647683022717
-37.484481912153306,-385.4784591462306,-58.54111318894088,-3160.7881609336437,603.5270332441559
-141.5686407926511,-68.90244137696504,100.02547724936875,-3480.742724158387,-1609.3303325467875
91.43897134094108,-481.04123300316354,38.4127988419984,-5778.310834462675,-1437.0038259645592
161.95854741041632,-455.975606607513,11.743678114778591,-5286.811785392674,-1869.9269645104105
459.546383153297,-27.435279488161076,-6.110264861919531,-167.1622102785739,-2595.279167528627
278.3421143952762,-20.377004291553153,-22.030957080998363,-182.8451168769094,-866.5796237890169
316.51676710426347,230.99676854940196,57.489103025763384,340.57952917746576,-283.2249820534869
-11.733518032275088,299.1882039789733,-12.291028269451743,5672.9789344527,107.65912442754974
-299.8287004305567,279.99855266502465,-176.57886222289176,-2742.913391429136,-5159.589824328995
16.572132779610875,-132.65336769799052,-17.780454663300482,-2839.3757726237764,-319.20316760356667
-8.40651420464938,-182.47297197502388,11.83652975297538,-4899.399409556032,125.48857136721183
-43.54798912091271,-344.6151777349723,-46.90390264686681,-4009.035859373781,527.4893416169871
48.62996108508479,334.11700447874375,36.06909037901755,-1096.4665579207592,236.73463803371607
-137.7568141346631,405.1109593520446,-2.3955213531855293,-1479.3849559777716,-512.6506631930345
-148.43193245441606,427.4334721148977,-3.821114373546692,-1777.8236338868537,-632.4501114259131
71.0055391803701,348.8266122974853,3.6323651864943542,-1806.133862180566,380.6371175344756
280.29252363054934,107.19953212582111,-67.96262003366823,2037.404121285279,-7292.872225613962
224.4059851935049,-434.2979976880922,-19.489491951945187,-1074.2016638234886,-351.3308279064682
202.42729772313209,354.69705674349467,14.804799499338912,-1099.2054465547676,714.6438070483159
-357.9753896743643,52.137423126569345,22.48177551463033,1.5044241346734917,460.5351359685173
-160.02959815375002,407.11066176241513,-65.30666142478248,-3033.352484202392,-1490.9879862362948
-260.09122829664153,274.9692014931239,-10.77556838835244,-5300.3921316901215,-5129.610620577166
172.58329278263665,463.1998404122767,62.61038017882916,1165.733743415717,-397.06722560076764
-54.29974670540303,-433.8465853712879,4.447177575181597,-5623.070100804746,678.4754178682938
-312.20230274401496,-147.80844843043337,-112.36439036545393,195.74605162527962,-631.9162127944152
-361.98186890200753,-169.89205592678408,-131.30855195394932,33.22898826780356,-68.33515065117354
-429.4086395248433,201.07695903727617,112.54445685450847,-873.2804773719962,-614.105951783107
-242.55511799658117,-157.3985327754018,-86.28945571126363,97.83947123206164,-139.24576161096437
-14.02915007087452,-320.30535425418236,-40.030255102551855,-3226.9329445820586,492.95406408457995
28.844028754322,-323.59128227824675,-56.87563991213744,-2475.9113104249873,86.02462918279709
178.7637289038186,-135.64254023208863,-59.60086149590748,-2316.3948139946156,-3399.525252995277
168.26404155077176,-49.413743056305144,14.061239132605253,-1111.2816740240091,-4039.132821818151
